objective,処理時間
299.6774570371672,17.078230381011963
285.9158977914326,15.534250974655151
294.14801342900154,14.190328598022461
297.1063018486245,13.909496068954468
282.0693246085978,14.095651388168335
298.6135505653192,14.225906372070312
322.0464601664854,14.457022905349731
298.07259638442656,14.561991930007935
297.06183608830474,13.808557748794556
302.69764802530045,14.824305534362793
284.4771331835946,14.330642700195312
292.79064433564906,13.947121143341064
311.570514129418,14.97707223892212
286.95422362991417,13.861837148666382
297.1648186752394,13.415892124176025
292.3452601987758,14.561498165130615
311.0487679793341,15.654300928115845
293.85868682599755,13.779819250106812
306.31020138753684,14.765451669692993
296.8701261699329,13.425398111343384
